Title,User_rating,Release_date,Tagline,Runtime,Genre,Certification,Cast,Budget,Revenue
Encanto,76.22,"Oct 13, 2021",There's a little magic in all of us...almost all of us.,        1h 42m    ,"['Animation', 'Comedy', 'Family', 'Fantasy']",        PG      ,"['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Diane Guerrero', 'Jessica Darrow', 'Carolina Gaitán', 'Angie Cepeda', 'Ravi Cabot-Conyers', 'Mauro Castillo']",50000000.0,253000000.0
Black Adam,70.0,"Oct 19, 2022",Power born from rage.,        2h 4m    ,"['Action', 'Adventure', 'Science Fiction']",        PG-13      ,"['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Mo Amer', 'Bodhi Sabongui', 'Pierce Brosnan']",200000000.0,393252111.0
The Suicide Squad,75.52,"Jul 28, 2021",They're dying to save the world.,        2h 12m    ,"['Action', 'Comedy', 'Adventure']",        R      ,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman', 'Sylvester Stallone', 'Viola Davis', 'David Dastmalchian', 'Daniela Melchior', 'Michael Rooker']",185000000.0,168717425.0
The Wandering Earth II,72.46000000000001,"Jan 22, 2023",No Tagline,        2h 53m    ,"['Science Fiction', 'Action', 'Drama']",        NR      ,"['Andy Lau', 'Wu Jing', 'Sha Yi', 'Zhu-Yan Manzi', 'Li Xuejian', 'Andy Friend', 'Wang Zhi', 'Kawawa Kadichi', 'Vatilli Makarychev']",73801827.0,604380922.0
The Hunger Games: Mockingjay - Part 1,68.03,"Nov 19, 2014",Fire burns brighter in the darkness,        2h 3m    ,"['Science Fiction', 'Adventure', 'Thriller']",        PG-13      ,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci']",125000000.0,755356711.0
Big Hero 6,77.35000000000001,"Oct 24, 2014",No Tagline,        1h 42m    ,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",        PG      ,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung', 'Damon Wayans Jr.', 'Génesis Rodríguez', 'James Cromwell', 'Alan Tudyk']",165000000.0,657827828.0
Harry Potter and the Order of the Phoenix,76.85,"Jul 08, 2007",Evil Must Be Confronted.,        2h 18m    ,"['Adventure', 'Fantasy']",        PG-13      ,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Imelda Staunton', 'Helena Bonham Carter', 'Robbie Coltrane', 'Gary Oldman', 'Ralph Fiennes', 'Michael Gambon']",150000000.0,938212738.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,73.0,"Jul 31, 2023",Heroes aren't born. They're mutated.,        1h 40m    ,"['Animation', 'Comedy', 'Action', 'Science Fiction']",        PG      ,"['Micah Abbey', 'Shamon Brown Jr.', 'Nicolas Cantu', 'Brady Noon', 'Ayo Edebiri', 'Maya Rudolph', 'John Cena', 'Seth Rogen', 'Rose Byrne']",75000000.0,180000000.0
Spider-Man: Homecoming,73.0,"Jul 05, 2017",Homework can wait. The city can't.,        2h 13m    ,"['Action', 'Adventure', 'Science Fiction', 'Drama']",        PG-13      ,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon']",175000000.0,880166924.0
Kung Fu Panda,72.0,"Jun 04, 2008",Prepare for awesomeness.,        1h 30m    ,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']",        PG      ,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Ian McShane', 'Jackie Chan', 'Lucy Liu', 'Seth Rogen', 'David Cross', 'Randall Duk Kim']",130000000.0,631744560.0
